rodada,mandante,oddVitoria,oddDerrota,oddEmpate,vermelho,resultado
1,S,3.2,3.75,2,N,V
2,N,6.5,2.2,2.1,N,D
3,S,2.63,4.75,2.05,N,V
4,N,4,3.1,1.95,N,D
5,S,7.5,2,2.25,N,E
6,N,4.33,3,1.95,N,D
7,S,6.5,2.1,2.2,N,D
8,N,4.75,2.6,2.1,V,D
9,S,3.25,3.75,2,N,V
10,N,6.5,2.3,2.05,N,D
11,S,3.2,3.75,2,N,D
12,N,5.5,2.6,1.95,N,V
13,S,4.33,2.88,2,N,D
14,N,2.63,4.33,2.1,N,D
15,S,2.88,4.5,2,N,E
16,S,2.88,4,2.1,V,V
17,N,6,2.1,2.3,D,E
18,N,4.75,2.5,2.1,N,D
19,S,3.5,3.5,1.95,N,E
20,N,4.75,2.4,2.2,N,V
21,S,2.75,4.75,2,N,D
22,N,3.6,3.1,2.1,N,V
23,S,2.75,4.5,2.05,V,E
24,N,9,1.73,2.5,N,E
25,S,3.75,3.1,2,N,V
26,N,8.5,1.8,2.5,N,D
27,S,2.25,5.5,2.25,V,V
28,N,3.6,3,2.1,D,V
29,S,3.5,3.4,2,N,V
30,N,4,2.75,2.1,N,V
31,S,3,4,2,N,D
32,N,4.33,2.4,2.3,N,D
33,S,2,6.5,2.38,D,D
34,N,4.33,2.5,2.25,N,D
35,N,5,2.2,2.38,N,D
36,S,3,3.5,2.2,N,V
37,S,2.75,4,2.2,N,D
38,N,6,2.05,2.38,D,D
